Test_Date	County	Total_Number_of_Tests_Performed		
8/26/2023	Capital Region	258		
8/26/2023	Cattaraugus	8		
8/26/2023	Cayuga	16		
8/26/2023	Central New York	325		
8/26/2023	Chautauqua	19		
8/26/2023	Chemung	28		
8/26/2023	Chenango	5		
8/26/2023	Clinton	28		
8/26/2023	Columbia	8		
8/26/2023	Cortland	8		
8/26/2023	Delaware	10		
8/26/2023	Dutchess	94		
8/26/2023	Erie	62		
8/26/2023	Essex	19		
8/26/2023	Finger Lakes	314		
8/26/2023	Franklin	18		
8/26/2023	Fulton	20		
8/26/2023	Genesee	10		
8/26/2023	Greene	7		
8/26/2023	Hamilton	3		
8/26/2023	Herkimer	11		
8/26/2023	Jefferson	49		
8/26/2023	Kings	1270		
8/26/2023	Lewis	10		
8/26/2023	Livingston	2		
8/26/2023	Long Island	1271		
8/26/2023	Madison	26		
8/26/2023	Mid-Hudson	1114		
8/26/2023	Mohawk Valley	152		
8/26/2023	Monroe	234		
8/26/2023	Montgomery	6		
8/26/2023	Nassau	714		
8/26/2023	New York	620		
8/26/2023	New York City	3869		
8/26/2023	Niagara	21		
8/26/2023	North Country	186		
8/26/2023	Oneida	107		
8/26/2023	Onondaga	203		
8/26/2023	Ontario	14		
8/26/2023	Orange	229		
8/26/2023	Orleans	5		
8/26/2023	Oswego	72		
8/26/2023	Otsego	7		
8/26/2023	Putnam	36		
8/26/2023	Queens	955		
8/26/2023	Rensselaer	25		
8/26/2023	Richmond	179		
8/26/2023	Rockland	154		
8/26/2023	STATEWIDE	7715		
8/26/2023	Saratoga	36		
8/26/2023	Schenectady	17		
8/26/2023	Schoharie	1		
8/26/2023	Schuyler	1		
8/26/2023	Seneca	17		
8/26/2023	Southern Tier	114		
8/26/2023	St. Lawrence	59		
8/26/2023	Steuben	14		
8/26/2023	Suffolk	557		
8/26/2023	Sullivan	33		
8/26/2023	Tioga	4		
8/26/2023	Tompkins	19		
8/26/2023	Ulster	57		
8/26/2023	Warren	33		
8/26/2023	Washington	49		
8/26/2023	Wayne	26		
8/26/2023	Westchester	511		
8/26/2023	Western New York	112		
8/26/2023	Wyoming	5		
8/26/2023	Yates	1		
8/25/2023	Albany	102		
8/25/2023	Allegany	0		
8/25/2023	Bronx	965		
8/25/2023	Broome	49		
8/25/2023	Capital Region	389		
8/25/2023	Cattaraugus	4		
8/25/2023	Cayuga	16		
8/25/2023	Central New York	403		
8/25/2023	Chautauqua	19		
8/25/2023	Chemung	36		
8/25/2023	Chenango	42		
8/25/2023	Clinton	29		
8/25/2023	Columbia	12		
8/25/2023	Cortland	13		
8/25/2023	Delaware	10		
8/25/2023	Dutchess	136		
8/25/2023	Erie	82		
8/25/2023	Essex	17		
8/25/2023	Finger Lakes	266		
8/25/2023	Franklin	22		
8/25/2023	Fulton	20		
8/25/2023	Genesee	11		
8/25/2023	Greene	8		
8/25/2023	Hamilton	0		
8/25/2023	Herkimer	9		
8/25/2023	Jefferson	55		
8/25/2023	Kings	1413		
8/25/2023	Lewis	8		
8/25/2023	Livingston	6		
8/25/2023	Long Island	1474		
8/25/2023	Madison	23		
8/25/2023	Mid-Hudson	1543		
8/25/2023	Mohawk Valley	168		
8/25/2023	Monroe	177		
8/25/2023	Montgomery	18		
8/25/2023	Nassau	797		
8/25/2023	New York	896		
8/25/2023	New York City	4883		
8/25/2023	Niagara	31		
8/25/2023	North Country	191		
8/25/2023	Oneida	110		
8/25/2023	Onondaga	252		
8/25/2023	Ontario	12		
8/25/2023	Orange	392		
8/25/2023	Orleans	7		
8/25/2023	Oswego	99		
8/25/2023	Otsego	7		
8/25/2023	Putnam	68		
8/25/2023	Queens	1395		
8/25/2023	Rensselaer	44		
8/25/2023	Richmond	214		
8/25/2023	Rockland	168		
8/25/2023	STATEWIDE	9666		
8/25/2023	Saratoga	118		
8/25/2023	Schenectady	35		
8/25/2023	Schoharie	4		
8/25/2023	Schuyler	7		
8/25/2023	Seneca	19		
8/25/2023	Southern Tier	213		
8/25/2023	St. Lawrence	60		
8/25/2023	Steuben	32		
8/25/2023	Suffolk	677		
8/25/2023	Sullivan	44		
8/25/2023	Tioga	5		
8/25/2023	Tompkins	32		
8/25/2023	Ulster	87		
8/25/2023	Warren	24		
8/25/2023	Washington	46		
8/25/2023	Wayne	25		
8/25/2023	Westchester	648		
8/25/2023	Western New York	136		
8/25/2023	Wyoming	4		
8/25/2023	Yates	5		
8/24/2023	Albany	107		
8/24/2023	Allegany	2		
8/24/2023	Bronx	992		
8/24/2023	Broome	43		
8/24/2023	Capital Region	305		
8/24/2023	Cattaraugus	6		
8/24/2023	Cayuga	48		
8/24/2023	Central New York	498		
8/24/2023	Chautauqua	14		
8/24/2023	Chemung	45		
8/24/2023	Chenango	8		
8/24/2023	Clinton	36		
8/24/2023	Columbia	5		
8/24/2023	Cortland	17		
8/24/2023	Delaware	24		
8/24/2023	Dutchess	83		
8/24/2023	Erie	135		
8/24/2023	Essex	16		
8/24/2023	Finger Lakes	348		
8/24/2023	Franklin	21		
8/24/2023	Fulton	15		
8/24/2023	Genesee	20		
8/24/2023	Greene	13		
8/24/2023	Hamilton	1		
8/24/2023	Herkimer	14		
8/24/2023	Jefferson	76		
8/24/2023	Kings	1383		
8/24/2023	Lewis	6		
8/24/2023	Livingston	4		
8/24/2023	Long Island	1451		
8/24/2023	Madison	25		
8/24/2023	Mid-Hudson	1247		
8/24/2023	Mohawk Valley	188		
8/24/2023	Monroe	236		
8/24/2023	Montgomery	17		
8/24/2023	Nassau	775		
8/24/2023	New York	853		
8/24/2023	New York City	4812		
8/24/2023	Niagara	29		
8/24/2023	North Country	226		
8/24/2023	Oneida	133		
8/24/2023	Onondaga	299		
8/24/2023	Ontario	18		
8/24/2023	Orange	204		
8/24/2023	Orleans	15		
8/24/2023	Oswego	109		
8/24/2023	Otsego	9		
8/24/2023	Putnam	51		
8/24/2023	Queens	1362		
8/24/2023	Rensselaer	37		
8/24/2023	Richmond	222		
8/24/2023	Rockland	177		
8/24/2023	STATEWIDE	9436		
8/24/2023	Saratoga	59		
8/24/2023	Schenectady	34		
8/24/2023	Schoharie	0		
8/24/2023	Schuyler	8		
8/24/2023	Seneca	14		
8/24/2023	Southern Tier	175		
8/24/2023	St. Lawrence	70		
8/24/2023	Steuben	16		
8/24/2023	Suffolk	676		
8/24/2023	Sullivan	44		
8/24/2023	Tioga	9		
8/24/2023	Tompkins	22		
8/24/2023	Ulster	53		
8/24/2023	Warren	39		
8/24/2023	Washington	11		
8/24/2023	Wayne	35		
8/24/2023	Westchester	635		
8/24/2023	Western New York	186		
8/24/2023	Wyoming	5		
8/24/2023	Yates	1		
8/23/2023	Albany	111		
8/23/2023	Allegany	2		
8/23/2023	Bronx	1028		
8/23/2023	Broome	53		
8/23/2023	Capital Region	323		
8/23/2023	Cattaraugus	9		
8/23/2023	Cayuga	18		
8/23/2023	Central New York	427		
8/23/2023	Chautauqua	24		
8/23/2023	Chemung	36		
8/23/2023	Chenango	53		
8/23/2023	Clinton	33		
8/23/2023	Columbia	12		
8/23/2023	Cortland	21		
8/23/2023	Delaware	10		
8/23/2023	Dutchess	102		
8/23/2023	Erie	116		
8/23/2023	Essex	21		
8/23/2023	Finger Lakes	357		
8/23/2023	Franklin	21		
8/23/2023	Fulton	15		
8/23/2023	Genesee	14		
8/23/2023	Greene	6		
8/23/2023	Hamilton	1		
8/23/2023	Herkimer	3		
8/23/2023	Jefferson	60		
8/23/2023	Kings	1399		
8/23/2023	Lewis	14		
8/23/2023	Livingston	4		
8/23/2023	Long Island	1503		
8/23/2023	Madison	28		
8/23/2023	Mid-Hudson	1253		
8/23/2023	Mohawk Valley	148		
8/23/2023	Monroe	253		
8/23/2023	Montgomery	14		
8/23/2023	Nassau	759		
8/23/2023	New York	802		
8/23/2023	New York City	4555		
8/23/2023	Niagara	31		
8/23/2023	North Country	217		
8/23/2023	Oneida	96		
8/23/2023	Onondaga	272		
8/23/2023	Ontario	22		
8/23/2023	Orange	208		
8/23/2023	Orleans	12		
8/23/2023	Oswego	88		
8/23/2023	Otsego	14		
8/23/2023	Putnam	37		
8/23/2023	Queens	1075		
8/23/2023	Rensselaer	41		
8/23/2023	Richmond	251		
8/23/2023	Rockland	171		
8/23/2023	STATEWIDE	9177		
8/23/2023	Saratoga	70		
8/23/2023	Schenectady	32		
8/23/2023	Schoharie	6		
8/23/2023	Schuyler	7		
8/23/2023	Seneca	18		
8/23/2023	Southern Tier	212		
8/23/2023	St. Lawrence	67		
8/23/2023	Steuben	24		
8/23/2023	Suffolk	744		
8/23/2023	Sullivan	26		
8/23/2023	Tioga	5		
8/23/2023	Tompkins	24		
8/23/2023	Ulster	73		
8/23/2023	Warren	25		
8/23/2023	Washington	26		
8/23/2023	Wayne	31		
8/23/2023	Westchester	636		
8/23/2023	Western New York	182		
8/23/2023	Wyoming	0		
8/23/2023	Yates	3		
8/22/2023	Albany	73		
8/22/2023	Allegany	2		
8/22/2023	Bronx	1127		
8/22/2023	Broome	52		
8/22/2023	Capital Region	306		
8/22/2023	Cattaraugus	6		
8/22/2023	Cayuga	12		
8/22/2023	Central New York	406		
8/22/2023	Chautauqua	20		
8/22/2023	Chemung	71		
8/22/2023	Chenango	14		
8/22/2023	Clinton	38		
8/22/2023	Columbia	3		
8/22/2023	Cortland	20		
8/22/2023	Delaware	11		
8/22/2023	Dutchess	105		
8/22/2023	Erie	122		
